1024	    395.65	    1920.54	 4.85
2048	    396.29	    1946.90	 4.91
4096	    390.50	    1889.20	 4.84
8192	    390.95	    1881.52	 4.81
16384	    390.90	    1874.30	 4.79
32768	    389.27	    1877.70	 4.82
65536	    389.44	    1874.08	 4.81
131072	    387.92	    1905.36	 4.91
262144	    388.43	    1912.33	 4.92
524288  	385.45	    1893.63	 4.91
1048576     382.33	    1775.23	 4.64
2097152     376.60	   1286.03	 3.41
4194304     371.33	    1021.84	 2.75
8388608     369.31	     927.24	 2.51
