 1 ,        1 ,   0.00 ,   0.72
 1 ,       10 ,  60.00 ,   6.41
 1 ,      100 ,  61.00 ,  31.15
 1 ,     1000 ,  57.10 ,  37.15
 1 ,    10000 ,  58.11 ,  34.87
 1 ,   100000 ,  57.21 ,  35.12
 1 ,   500000 ,  57.09 ,  34.20
 1 ,  1000000 ,  57.05 ,  34.18
 2 ,        1 ,   0.00 ,   0.36
 2 ,       10 ,  60.00 ,   4.05
 2 ,      100 ,  59.00 ,  29.80
 2 ,     1000 ,  55.90 ,  67.27
 2 ,    10000 ,  57.06 ,  67.79
 2 ,   100000 ,  57.32 ,  67.64
 2 ,   500000 ,  57.01 ,  66.90
 2 ,  1000000 ,  56.95 ,  66.79
 4 ,        1 ,   0.00 ,   0.40
 4 ,       10 ,  50.00 ,   3.81
 4 ,      100 ,  55.00 ,  31.09
 4 ,     1000 ,  57.10 ,  85.48
 4 ,    10000 ,  56.59 ,  99.51
 4 ,   100000 ,  57.08 , 100.49
 4 ,   500000 ,  56.87 ,  99.92
 4 ,  1000000 ,  56.89 ,  99.75
 6 ,        1 ,   0.00 ,   0.04
 6 ,       10 ,  20.00 ,   0.55
 6 ,      100 ,  64.00 ,   3.77
 6 ,     1000 ,  57.00 ,  25.32
 6 ,    10000 ,  57.11 ,  64.67
 6 ,   100000 ,  56.91 ,  81.96
 6 ,   500000 ,  57.04 ,  84.33
 6 ,  1000000 ,  57.04 ,  92.56
 8 ,        1 , 100.00 ,   0.03
 8 ,       10 ,  70.00 ,   0.36
 8 ,      100 ,  63.00 ,   1.84
 8 ,     1000 ,  58.10 ,  31.76
 8 ,    10000 ,  57.16 ,  79.76
 8 ,   100000 ,  56.83 ,  65.13
 8 ,   500000 ,  56.96 ,  66.60
 8 ,  1000000 ,  57.00 ,  72.41
