    4096 ,      8 ,      60.91
    4096 ,     32 ,      60.71
    4096 ,     64 ,      45.40
    4096 ,    128 ,      56.19
    4096 ,    256 ,      46.53
   16384 ,      8 ,     216.34
   16384 ,     32 ,     220.09
   16384 ,     64 ,     172.66
   16384 ,    128 ,     151.42
   16384 ,    256 ,     173.52
   65536 ,      8 ,     257.90
   65536 ,     32 ,     250.44
   65536 ,     64 ,     205.20
   65536 ,    128 ,     245.42
   65536 ,    256 ,     220.49
  262144 ,      8 ,     392.31
  262144 ,     32 ,     497.06
  262144 ,     64 ,     591.20
  262144 ,    128 ,     391.89
  262144 ,    256 ,     378.84
 1048576 ,      8 ,     936.12
 1048576 ,     32 ,    1249.78
 1048576 ,     64 ,    1260.10
 1048576 ,    128 ,    1718.32
 1048576 ,    256 ,    1394.81
 4194304 ,      8 ,    1998.30
 4194304 ,     32 ,    3493.69
 4194304 ,     64 ,    3469.91
 4194304 ,    128 ,    3116.93
 4194304 ,    256 ,    3295.75
